trlno,duration,stochasticity
1,1.3,practice
2,1.1,practice
3,1.3,practice
4,1.1,practice
5,1.1,practice
6,1.2,practice
7,1.3,practice
8,1.3,practice
9,1.1,practice
10,1.2,practice
11,0.834,low
12,0.717,low
13,0.717,low
14,0.783,low
15,0.767,low
16,0.75,low
17,0.8,low
18,0.834,low
19,0.733,low
20,0.783,low
21,0.683,low
22,0.733,low
23,0.733,low
24,0.85,low
25,0.9,low
26,0.984,low
27,0.9,low
28,0.95,low
29,0.95,low
30,0.934,low
31,0.884,low
32,0.917,low
33,0.834,low
34,0.85,low
35,0.9,low
36,0.917,low
37,0.95,low
38,0.967,low
39,0.9,low
40,0.9,low
41,0.75,low
42,0.733,low
43,0.667,low
44,0.633,low
45,0.6,low
46,0.617,low
47,0.7,low
48,0.717,low
49,0.75,low
50,0.75,low
51,0.783,low
52,0.834,low
53,0.8,low
54,0.9,low
55,0.917,low
56,1.017,low
57,1.0,low
58,0.95,low
59,0.967,low
60,0.984,low
61,0.95,low
62,0.95,low
63,1.0,low
64,1.05,low
65,1.067,low
66,1.134,low
67,1.15,low
68,1.167,low
69,1.167,low
70,1.3,low
71,1.367,low
72,1.367,low
73,1.367,low
74,1.4,low
75,1.417,low
76,1.45,low
77,1.584,low
78,1.617,low
79,1.7,low
80,1.684,low
81,1.684,low
82,1.7,low
83,1.717,low
84,1.65,low
85,1.734,low
86,1.667,low
87,1.65,low
88,1.717,low
89,1.684,low
90,1.684,low
91,1.667,low
92,1.7,low
93,1.7,low
94,1.734,low
95,1.7,low
96,1.8,low
97,1.717,low
98,1.667,low
99,1.75,low
100,1.7,low
101,1.7,low
102,1.634,low
103,1.65,low
104,1.634,low
105,1.667,low
106,1.75,low
107,1.717,low
108,1.7,low
109,1.667,low
110,1.634,low
111,1.7,high
112,0.95,high
113,0.717,high
114,0.9,high
115,0.9,high
116,0.75,high
117,0.834,high
118,1.684,high
119,1.667,high
120,1.7,high
121,0.95,high
122,1.65,high
123,1.684,high
124,0.783,high
125,1.05,high
126,0.95,high
127,1.7,high
128,1.667,high
129,0.917,high
130,1.65,high
131,1.7,high
132,0.6,high
133,0.917,high
134,0.834,high
135,1.7,high
136,0.984,high
137,1.667,high
138,0.8,high
139,1.017,high
140,1.684,high
141,0.967,high
142,1.0,high
143,1.4,high
144,0.733,high
145,0.733,high
146,0.617,high
147,1.584,high
148,0.85,high
149,0.733,high
150,0.9,high
151,1.45,high
152,0.8,high
153,1.634,high
154,0.834,high
155,0.95,high
156,1.75,high
157,0.884,high
158,0.7,high
159,0.75,high
160,1.417,high
161,1.734,high
162,1.617,high
163,1.167,high
164,0.733,high
165,0.75,high
166,0.984,high
167,1.634,high
168,1.734,high
169,0.75,high
170,1.634,high
171,0.967,high
172,1.65,high
173,0.9,high
174,0.95,high
175,1.7,high
176,1.367,high
177,1.667,high
178,0.934,high
179,0.767,high
180,0.717,high
181,1.667,high
182,0.667,high
183,0.717,high
184,1.367,high
185,1.134,high
186,0.783,high
187,1.167,high
188,1.717,high
189,1.8,high
190,1.067,high
191,0.683,high
192,1.15,high
193,1.717,high
194,0.834,high
195,1.717,high
196,0.95,high
197,1.684,high
198,1.7,high
199,0.783,high
200,1.7,high
201,1.0,high
202,0.9,high
203,1.367,high
204,0.633,high
205,1.717,high
206,0.9,high
207,0.85,high
208,0.917,high
209,1.75,high
210,1.3,high
