trlno,duration,stochasticity
1,1.3,practice
2,1.3,practice
3,1.1,practice
4,1.2,practice
5,1.2,practice
6,1.2,practice
7,1.2,practice
8,1.1,practice
9,1.3,practice
10,1.3,practice
11,1.034,high
12,1.134,high
13,1.5,high
14,1.3,high
15,1.75,high
16,1.784,high
17,1.3,high
18,1.117,high
19,1.2,high
20,1.317,high
21,1.784,high
22,1.7,high
23,1.5,high
24,1.2,high
25,1.334,high
26,1.134,high
27,0.817,high
28,1.4,high
29,1.284,high
30,1.15,high
31,1.067,high
32,1.1,high
33,1.3,high
34,1.184,high
35,1.384,high
36,1.317,high
37,1.784,high
38,1.15,high
39,0.75,high
40,1.717,high
41,1.35,high
42,1.334,high
43,1.35,high
44,1.15,high
45,1.417,high
46,1.767,high
47,1.417,high
48,1.45,high
49,1.134,high
50,0.733,high
51,1.334,high
52,1.3,high
53,1.65,high
54,1.1,high
55,1.8,high
56,1.734,high
57,1.0,high
58,1.5,high
59,0.65,high
60,1.784,high
61,1.467,high
62,1.067,high
63,0.834,high
64,1.317,high
65,1.117,high
66,1.634,high
67,1.467,high
68,1.117,high
69,1.384,high
70,1.317,high
71,1.367,high
72,1.584,high
73,1.2,high
74,0.867,high
75,1.1,high
76,0.817,high
77,1.467,high
78,0.934,high
79,1.467,high
80,1.134,high
81,1.6,high
82,1.467,high
83,1.3,high
84,0.6,high
85,1.284,high
86,1.734,high
87,1.25,high
88,0.717,high
89,1.534,high
90,0.75,high
91,0.984,high
92,1.667,high
93,0.633,high
94,1.2,high
95,1.1,high
96,1.65,high
97,1.35,high
98,1.634,high
99,1.717,high
100,1.284,high
101,1.534,high
102,1.35,high
103,1.367,high
104,1.117,high
105,1.25,high
106,1.734,high
107,1.717,high
108,1.434,high
109,1.15,high
110,1.417,high
111,1.784,low
112,1.7,low
113,1.65,low
114,1.767,low
115,1.75,low
116,1.634,low
117,1.717,low
118,1.717,low
119,1.734,low
120,1.717,low
121,1.734,low
122,1.734,low
123,1.784,low
124,1.8,low
125,1.784,low
126,1.784,low
127,1.667,low
128,1.65,low
129,1.634,low
130,1.6,low
131,1.584,low
132,1.417,low
133,1.35,low
134,1.284,low
135,1.25,low
136,1.317,low
137,1.417,low
138,1.334,low
139,1.25,low
140,1.284,low
141,1.317,low
142,1.35,low
143,1.3,low
144,1.2,low
145,1.3,low
146,1.284,low
147,1.3,low
148,1.367,low
149,1.3,low
150,1.3,low
151,1.367,low
152,1.35,low
153,1.317,low
154,1.334,low
155,1.384,low
156,1.434,low
157,1.5,low
158,1.5,low
159,1.467,low
160,1.5,low
161,1.467,low
162,1.467,low
163,1.35,low
164,1.4,low
165,1.467,low
166,1.467,low
167,1.534,low
168,1.534,low
169,1.45,low
170,1.417,low
171,1.384,low
172,1.334,low
173,1.184,low
174,1.134,low
175,1.067,low
176,1.15,low
177,1.15,low
178,1.117,low
179,1.117,low
180,1.117,low
181,1.1,low
182,1.1,low
183,1.134,low
184,1.2,low
185,1.2,low
186,1.15,low
187,1.134,low
188,1.117,low
189,1.0,low
190,1.15,low
191,1.134,low
192,1.317,low
193,1.2,low
194,1.067,low
195,1.1,low
196,1.1,low
197,1.034,low
198,0.934,low
199,0.834,low
200,0.817,low
201,0.717,low
202,0.65,low
203,0.633,low
204,0.6,low
205,0.75,low
206,0.75,low
207,0.817,low
208,0.733,low
209,0.867,low
210,0.984,low
