trlno,duration,stochasticity
1,1.3,practice
2,1.3,practice
3,1.3,practice
4,1.1,practice
5,1.3,practice
6,1.3,practice
7,1.2,practice
8,1.3,practice
9,1.3,practice
10,1.1,practice
11,1.617,high
12,0.783,high
13,1.45,high
14,1.034,high
15,0.9,high
16,0.934,high
17,0.75,high
18,1.45,high
19,0.967,high
20,1.267,high
21,0.967,high
22,0.817,high
23,0.9,high
24,0.984,high
25,1.334,high
26,0.867,high
27,1.25,high
28,1.317,high
29,1.434,high
30,1.034,high
31,1.5,high
32,0.834,high
33,0.817,high
34,1.35,high
35,1.55,high
36,1.367,high
37,0.9,high
38,1.534,high
39,0.867,high
40,1.217,high
41,1.1,high
42,1.017,high
43,1.134,high
44,0.967,high
45,1.334,high
46,1.05,high
47,1.584,high
48,1.05,high
49,0.7,high
50,1.067,high
51,1.634,high
52,1.084,high
53,0.95,high
54,1.3,high
55,1.3,high
56,1.417,high
57,1.0,high
58,1.1,high
59,1.217,high
60,1.567,high
61,0.917,high
62,1.4,high
63,0.6,high
64,1.034,high
65,1.384,high
66,1.15,high
67,1.35,high
68,1.134,high
69,1.234,high
70,1.5,high
71,0.95,high
72,1.067,high
73,1.6,high
74,1.534,high
75,1.567,high
76,1.35,high
77,1.567,high
78,1.667,high
79,1.1,high
80,1.017,high
81,1.667,high
82,1.034,high
83,1.8,high
84,0.767,high
85,0.767,high
86,0.9,high
87,1.15,high
88,1.1,high
89,1.7,high
90,1.15,high
91,1.417,high
92,0.834,high
93,1.517,high
94,0.967,high
95,1.05,high
96,1.1,high
97,1.0,high
98,1.467,high
99,0.884,high
100,1.067,high
101,1.234,high
102,1.267,high
103,0.817,high
104,0.633,high
105,0.95,high
106,1.267,high
107,1.317,high
108,0.917,high
109,1.35,high
110,1.4,high
111,1.567,low
112,1.584,low
113,1.7,low
114,1.634,low
115,1.5,low
116,1.367,low
117,1.534,low
118,1.567,low
119,1.567,low
120,1.6,low
121,1.4,low
122,1.317,low
123,1.5,low
124,1.55,low
125,1.4,low
126,1.3,low
127,1.3,low
128,1.217,low
129,1.017,low
130,1.067,low
131,0.9,low
132,0.834,low
133,0.917,low
134,0.967,low
135,0.95,low
136,1.034,low
137,1.017,low
138,0.9,low
139,0.867,low
140,0.967,low
141,1.1,low
142,1.267,low
143,1.134,low
144,1.234,low
145,1.35,low
146,1.334,low
147,1.317,low
148,1.35,low
149,1.334,low
150,1.35,low
151,1.134,low
152,1.067,low
153,1.034,low
154,1.1,low
155,1.234,low
156,1.217,low
157,1.267,low
158,1.15,low
159,1.1,low
160,1.15,low
161,1.267,low
162,1.417,low
163,1.45,low
164,1.517,low
165,1.45,low
166,1.467,low
167,1.534,low
168,1.667,low
169,1.8,low
170,1.667,low
171,1.617,low
172,1.384,low
173,1.434,low
174,1.417,low
175,1.35,low
176,1.25,low
177,1.067,low
178,0.917,low
179,0.9,low
180,0.817,low
181,0.783,low
182,0.7,low
183,0.6,low
184,0.817,low
185,0.9,low
186,1.0,low
187,0.95,low
188,0.834,low
189,0.767,low
190,0.767,low
191,0.817,low
192,0.884,low
193,0.967,low
194,1.1,low
195,1.0,low
196,1.05,low
197,1.05,low
198,1.084,low
199,0.984,low
200,1.1,low
201,1.034,low
202,0.934,low
203,1.034,low
204,1.15,low
205,1.05,low
206,0.967,low
207,0.867,low
208,0.95,low
209,0.75,low
210,0.633,low
