trlno,duration,stochasticity
1,1.1,practice
2,1.3,practice
3,1.2,practice
4,1.2,practice
5,1.3,practice
6,1.3,practice
7,1.3,practice
8,1.1,practice
9,1.3,practice
10,1.2,practice
11,1.584,low
12,1.8,low
13,1.717,low
14,1.567,low
15,1.417,low
16,1.584,low
17,1.567,low
18,1.55,low
19,1.484,low
20,1.434,low
21,1.284,low
22,1.217,low
23,1.234,low
24,1.167,low
25,1.3,low
26,1.334,low
27,1.317,low
28,1.3,low
29,1.35,low
30,1.267,low
31,1.384,low
32,1.25,low
33,1.1,low
34,1.25,low
35,1.084,low
36,1.05,low
37,1.034,low
38,0.95,low
39,1.117,low
40,1.134,low
41,1.184,low
42,1.167,low
43,1.134,low
44,1.167,low
45,1.034,low
46,1.1,low
47,1.067,low
48,1.117,low
49,1.017,low
50,1.084,low
51,0.984,low
52,0.967,low
53,0.867,low
54,0.817,low
55,0.967,low
56,0.9,low
57,0.884,low
58,0.917,low
59,0.917,low
60,0.967,low
61,1.034,low
62,0.917,low
63,0.9,low
64,0.984,low
65,1.1,low
66,1.15,low
67,1.217,low
68,1.3,low
69,1.1,low
70,0.984,low
71,1.017,low
72,1.067,low
73,0.834,low
74,0.917,low
75,0.9,low
76,0.867,low
77,0.934,low
78,0.984,low
79,0.967,low
80,0.85,low
81,0.717,low
82,0.75,low
83,0.733,low
84,0.6,low
85,0.617,low
86,0.683,low
87,0.717,low
88,0.783,low
89,0.733,low
90,0.733,low
91,0.85,low
92,0.8,low
93,0.767,low
94,0.917,low
95,0.884,low
96,0.817,low
97,0.85,low
98,0.8,low
99,0.884,low
100,1.067,low
101,0.917,low
102,1.05,low
103,0.967,low
104,0.917,low
105,0.934,low
106,0.984,low
107,0.884,low
108,0.884,low
109,0.6,low
110,0.617,low
111,1.067,high
112,1.017,high
113,1.584,high
114,1.25,high
115,1.167,high
116,0.884,high
117,1.167,high
118,0.967,high
119,0.717,high
120,0.967,high
121,1.1,high
122,0.884,high
123,1.35,high
124,0.967,high
125,1.3,high
126,1.1,high
127,1.1,high
128,1.384,high
129,1.05,high
130,0.834,high
131,1.084,high
132,0.884,high
133,1.3,high
134,1.05,high
135,1.567,high
136,1.55,high
137,0.934,high
138,1.567,high
139,0.917,high
140,0.867,high
141,0.95,high
142,1.117,high
143,0.917,high
144,1.034,high
145,1.217,high
146,0.617,high
147,0.8,high
148,0.617,high
149,0.817,high
150,0.683,high
151,1.434,high
152,0.767,high
153,0.9,high
154,1.484,high
155,1.3,high
156,1.067,high
157,1.284,high
158,1.167,high
159,0.884,high
160,0.967,high
161,1.034,high
162,0.8,high
163,1.017,high
164,1.317,high
165,0.817,high
166,1.217,high
167,1.25,high
168,1.417,high
169,0.75,high
170,0.967,high
171,1.134,high
172,1.584,high
173,0.85,high
174,0.733,high
175,0.733,high
176,0.884,high
177,1.334,high
178,0.984,high
179,0.733,high
180,1.084,high
181,1.034,high
182,1.717,high
183,1.184,high
184,0.85,high
185,0.6,high
186,0.717,high
187,0.6,high
188,0.867,high
189,0.917,high
190,1.267,high
191,1.1,high
192,1.134,high
193,0.917,high
194,0.984,high
195,0.85,high
196,1.067,high
197,1.8,high
198,0.9,high
199,0.783,high
200,0.984,high
201,0.917,high
202,0.984,high
203,1.234,high
204,0.984,high
205,1.15,high
206,1.117,high
207,0.9,high
208,0.917,high
209,0.934,high
210,0.917,high
