trlno,duration,stochasticity
1,1.2,practice
2,1.2,practice
3,1.3,practice
4,1.2,practice
5,1.1,practice
6,1.1,practice
7,1.2,practice
8,1.1,practice
9,1.2,practice
10,1.2,practice
11,0.667,low
12,0.683,low
13,0.8,low
14,0.8,low
15,0.75,low
16,0.733,low
17,0.867,low
18,0.733,low
19,0.75,low
20,0.783,low
21,0.917,low
22,0.934,low
23,0.867,low
24,0.767,low
25,0.667,low
26,0.6,low
27,0.7,low
28,0.667,low
29,0.867,low
30,0.733,low
31,0.75,low
32,0.8,low
33,1.034,low
34,1.0,low
35,1.067,low
36,1.1,low
37,1.25,low
38,1.534,low
39,1.55,low
40,1.584,low
41,1.667,low
42,1.684,low
43,1.717,low
44,1.684,low
45,1.717,low
46,1.484,low
47,1.45,low
48,1.634,low
49,1.617,low
50,1.55,low
51,1.467,low
52,1.684,low
53,1.65,low
54,1.334,low
55,1.417,low
56,1.55,low
57,1.417,low
58,1.367,low
59,1.35,low
60,1.467,low
61,1.517,low
62,1.484,low
63,1.567,low
64,1.567,low
65,1.617,low
66,1.734,low
67,1.734,low
68,1.8,low
69,1.8,low
70,1.767,low
71,1.8,low
72,1.7,low
73,1.534,low
74,1.567,low
75,1.617,low
76,1.617,low
77,1.467,low
78,1.3,low
79,1.367,low
80,1.367,low
81,1.484,low
82,1.384,low
83,1.434,low
84,1.434,low
85,1.384,low
86,1.15,low
87,1.1,low
88,1.134,low
89,1.134,low
90,0.95,low
91,1.0,low
92,0.834,low
93,0.884,low
94,0.85,low
95,0.867,low
96,1.0,low
97,1.017,low
98,1.034,low
99,1.167,low
100,1.267,low
101,1.334,low
102,1.084,low
103,0.984,low
104,1.0,low
105,0.867,low
106,0.967,low
107,0.683,low
108,0.8,low
109,0.817,low
110,0.834,low
111,1.734,high
112,1.767,high
113,1.517,high
114,1.8,high
115,1.617,high
116,1.167,high
117,0.783,high
118,1.067,high
119,1.267,high
120,1.434,high
121,0.667,high
122,1.384,high
123,1.8,high
124,1.684,high
125,0.984,high
126,0.917,high
127,1.0,high
128,0.667,high
129,0.733,high
130,0.733,high
131,1.017,high
132,1.0,high
133,1.467,high
134,0.95,high
135,1.734,high
136,0.8,high
137,1.617,high
138,0.8,high
139,1.534,high
140,1.034,high
141,1.367,high
142,0.8,high
143,1.467,high
144,0.967,high
145,1.8,high
146,1.484,high
147,1.684,high
148,0.834,high
149,0.884,high
150,1.667,high
151,1.55,high
152,1.534,high
153,1.567,high
154,1.35,high
155,1.434,high
156,1.367,high
157,0.733,high
158,0.75,high
159,1.684,high
160,1.1,high
161,1.717,high
162,0.867,high
163,1.134,high
164,0.817,high
165,1.134,high
166,1.084,high
167,1.567,high
168,1.584,high
169,0.867,high
170,1.3,high
171,0.767,high
172,0.867,high
173,1.55,high
174,1.0,high
175,0.6,high
176,0.75,high
177,0.934,high
178,1.567,high
179,1.0,high
180,0.867,high
181,0.8,high
182,1.367,high
183,1.384,high
184,1.417,high
185,1.334,high
186,1.617,high
187,0.867,high
188,0.683,high
189,1.1,high
190,1.55,high
191,1.65,high
192,1.417,high
193,1.467,high
194,1.717,high
195,1.484,high
196,1.25,high
197,0.7,high
198,0.85,high
199,0.683,high
200,0.75,high
201,1.484,high
202,0.667,high
203,1.617,high
204,1.45,high
205,1.15,high
206,1.034,high
207,1.334,high
208,1.7,high
209,0.834,high
210,1.634,high
