trlno,duration,stochasticity
1,1.2,practice
2,1.1,practice
3,1.3,practice
4,1.2,practice
5,1.3,practice
6,1.3,practice
7,1.1,practice
8,1.2,practice
9,1.3,practice
10,1.2,practice
11,1.8,low
12,1.767,low
13,1.717,low
14,1.65,low
15,1.667,low
16,1.634,low
17,1.634,low
18,1.617,low
19,1.634,low
20,1.517,low
21,1.567,low
22,1.567,low
23,1.6,low
24,1.634,low
25,1.667,low
26,1.65,low
27,1.584,low
28,1.534,low
29,1.484,low
30,1.467,low
31,1.534,low
32,1.484,low
33,1.45,low
34,1.534,low
35,1.55,low
36,1.634,low
37,1.617,low
38,1.55,low
39,1.45,low
40,1.467,low
41,1.45,low
42,1.467,low
43,1.434,low
44,1.4,low
45,1.45,low
46,1.517,low
47,1.517,low
48,1.417,low
49,1.417,low
50,1.417,low
51,1.384,low
52,1.434,low
53,1.417,low
54,1.384,low
55,1.334,low
56,1.25,low
57,1.184,low
58,1.25,low
59,1.234,low
60,1.234,low
61,1.184,low
62,1.117,low
63,1.084,low
64,1.0,low
65,1.1,low
66,1.034,low
67,0.95,low
68,0.917,low
69,0.85,low
70,0.817,low
71,0.8,low
72,0.75,low
73,0.8,low
74,0.834,low
75,0.934,low
76,0.917,low
77,0.9,low
78,0.834,low
79,0.817,low
80,0.867,low
81,0.85,low
82,0.783,low
83,0.817,low
84,0.817,low
85,0.817,low
86,0.767,low
87,0.8,low
88,0.817,low
89,0.783,low
90,0.733,low
91,0.7,low
92,0.683,low
93,0.75,low
94,0.767,low
95,0.717,low
96,0.7,low
97,0.683,low
98,0.683,low
99,0.617,low
100,0.6,low
101,0.65,low
102,0.717,low
103,0.667,low
104,0.8,low
105,0.817,low
106,0.8,low
107,0.733,low
108,0.767,low
109,0.8,low
110,0.9,low
111,0.683,high
112,0.717,high
113,0.934,high
114,0.817,high
115,0.917,high
116,1.45,high
117,0.817,high
118,1.0,high
119,0.65,high
120,0.733,high
121,0.75,high
122,0.8,high
123,1.634,high
124,1.717,high
125,1.634,high
126,0.767,high
127,1.417,high
128,1.467,high
129,0.667,high
130,1.417,high
131,0.817,high
132,0.8,high
133,0.617,high
134,0.85,high
135,0.834,high
136,0.9,high
137,1.117,high
138,1.634,high
139,1.034,high
140,1.25,high
141,1.434,high
142,0.85,high
143,1.65,high
144,1.4,high
145,0.8,high
146,0.75,high
147,0.817,high
148,0.817,high
149,1.234,high
150,1.517,high
151,0.7,high
152,0.6,high
153,0.683,high
154,1.417,high
155,1.534,high
156,1.434,high
157,1.584,high
158,1.45,high
159,0.717,high
160,1.517,high
161,1.1,high
162,1.567,high
163,0.8,high
164,1.634,high
165,0.834,high
166,1.417,high
167,1.25,high
168,1.667,high
169,0.817,high
170,1.084,high
171,0.9,high
172,1.384,high
173,0.917,high
174,1.634,high
175,1.617,high
176,0.767,high
177,1.65,high
178,1.184,high
179,1.517,high
180,1.6,high
181,1.617,high
182,0.817,high
183,1.45,high
184,1.484,high
185,0.683,high
186,1.467,high
187,0.733,high
188,1.45,high
189,1.234,high
190,1.534,high
191,1.184,high
192,1.567,high
193,1.534,high
194,0.867,high
195,0.8,high
196,0.783,high
197,1.55,high
198,1.484,high
199,0.95,high
200,1.334,high
201,0.8,high
202,0.7,high
203,0.783,high
204,1.384,high
205,1.467,high
206,0.767,high
207,1.8,high
208,1.767,high
209,1.55,high
210,1.667,high
