trlno,duration,stochasticity
1,1.3,practice
2,1.3,practice
3,1.3,practice
4,1.3,practice
5,1.3,practice
6,1.1,practice
7,1.3,practice
8,1.2,practice
9,1.3,practice
10,1.3,practice
11,1.3,low
12,1.084,low
13,1.15,low
14,1.034,low
15,1.067,low
16,1.117,low
17,1.084,low
18,1.117,low
19,1.1,low
20,1.084,low
21,1.117,low
22,0.817,low
23,0.817,low
24,0.817,low
25,0.733,low
26,0.817,low
27,0.8,low
28,0.717,low
29,0.667,low
30,0.733,low
31,0.717,low
32,0.733,low
33,0.8,low
34,0.767,low
35,0.733,low
36,0.817,low
37,0.817,low
38,0.9,low
39,0.884,low
40,0.934,low
41,0.95,low
42,1.05,low
43,1.034,low
44,1.034,low
45,0.9,low
46,0.867,low
47,0.934,low
48,0.867,low
49,0.7,low
50,0.667,low
51,0.65,low
52,0.617,low
53,0.667,low
54,0.6,low
55,0.65,low
56,0.717,low
57,1.017,low
58,0.95,low
59,0.667,low
60,0.717,low
61,0.817,low
62,0.817,low
63,0.75,low
64,0.783,low
65,0.667,low
66,0.75,low
67,0.884,low
68,1.017,low
69,0.95,low
70,1.05,low
71,0.934,low
72,0.85,low
73,0.967,low
74,0.934,low
75,0.95,low
76,1.034,low
77,1.067,low
78,0.967,low
79,0.917,low
80,1.117,low
81,1.034,low
82,0.85,low
83,0.917,low
84,0.9,low
85,0.984,low
86,0.95,low
87,1.084,low
88,1.067,low
89,1.084,low
90,1.167,low
91,1.267,low
92,1.2,low
93,1.4,low
94,1.367,low
95,1.534,low
96,1.6,low
97,1.45,low
98,1.6,low
99,1.667,low
100,1.684,low
101,1.8,low
102,1.684,low
103,1.484,low
104,1.6,low
105,1.584,low
106,1.634,low
107,1.684,low
108,1.65,low
109,1.634,low
110,1.734,low
111,1.084,high
112,1.084,high
113,1.034,high
114,1.1,high
115,0.917,high
116,1.684,high
117,1.3,high
118,0.85,high
119,1.584,high
120,1.65,high
121,0.817,high
122,0.617,high
123,1.05,high
124,0.934,high
125,0.95,high
126,0.934,high
127,0.75,high
128,1.634,high
129,0.934,high
130,0.767,high
131,0.9,high
132,1.8,high
133,1.684,high
134,1.067,high
135,1.634,high
136,0.7,high
137,0.984,high
138,0.867,high
139,0.667,high
140,1.117,high
141,0.817,high
142,0.717,high
143,1.084,high
144,0.817,high
145,0.934,high
146,0.733,high
147,0.717,high
148,1.15,high
149,1.034,high
150,1.6,high
151,1.534,high
152,0.917,high
153,0.817,high
154,0.6,high
155,0.817,high
156,1.084,high
157,1.034,high
158,1.017,high
159,1.6,high
160,0.667,high
161,0.9,high
162,0.85,high
163,0.817,high
164,1.667,high
165,0.65,high
166,1.117,high
167,0.783,high
168,0.95,high
169,1.117,high
170,0.967,high
171,0.65,high
172,0.95,high
173,0.8,high
174,1.6,high
175,1.084,high
176,0.867,high
177,0.817,high
178,1.4,high
179,1.167,high
180,1.067,high
181,1.684,high
182,1.267,high
183,0.8,high
184,1.034,high
185,0.817,high
186,0.95,high
187,1.117,high
188,1.017,high
189,1.034,high
190,0.733,high
191,1.2,high
192,0.667,high
193,0.95,high
194,0.884,high
195,0.733,high
196,1.484,high
197,0.733,high
198,0.967,high
199,0.667,high
200,0.717,high
201,1.367,high
202,0.75,high
203,1.05,high
204,1.734,high
205,0.9,high
206,1.45,high
207,1.067,high
208,0.717,high
209,0.667,high
210,0.884,high
