trlno,duration,stochasticity
1,1.3,practice
2,1.1,practice
3,1.1,practice
4,1.1,practice
5,1.3,practice
6,1.2,practice
7,1.2,practice
8,1.3,practice
9,1.1,practice
10,1.2,practice
11,1.084,high
12,1.317,high
13,1.35,high
14,1.434,high
15,1.35,high
16,1.384,high
17,1.017,high
18,1.0,high
19,0.717,high
20,1.317,high
21,0.85,high
22,1.25,high
23,1.3,high
24,1.217,high
25,1.05,high
26,1.417,high
27,1.25,high
28,0.783,high
29,1.35,high
30,0.867,high
31,1.334,high
32,1.234,high
33,1.8,high
34,0.967,high
35,1.25,high
36,1.45,high
37,0.6,high
38,0.9,high
39,1.417,high
40,1.35,high
41,1.217,high
42,1.134,high
43,1.267,high
44,1.367,high
45,1.2,high
46,1.417,high
47,1.417,high
48,1.35,high
49,1.184,high
50,1.584,high
51,0.884,high
52,1.534,high
53,1.184,high
54,1.634,high
55,1.217,high
56,1.067,high
57,1.35,high
58,0.9,high
59,1.134,high
60,1.084,high
61,1.084,high
62,1.334,high
63,1.134,high
64,0.8,high
65,1.317,high
66,0.817,high
67,1.284,high
68,1.067,high
69,1.284,high
70,1.317,high
71,0.85,high
72,1.284,high
73,1.334,high
74,1.334,high
75,1.2,high
76,1.484,high
77,0.95,high
78,0.934,high
79,1.1,high
80,0.85,high
81,1.184,high
82,1.1,high
83,1.167,high
84,0.967,high
85,1.6,high
86,1.367,high
87,1.334,high
88,1.1,high
89,1.367,high
90,1.217,high
91,1.05,high
92,1.25,high
93,1.017,high
94,0.95,high
95,1.284,high
96,1.367,high
97,1.084,high
98,1.067,high
99,1.017,high
100,1.15,high
101,1.05,high
102,1.134,high
103,1.284,high
104,0.834,high
105,1.0,high
106,1.434,high
107,1.217,high
108,1.067,high
109,1.35,high
110,1.167,high
111,1.2,low
112,1.134,low
113,1.15,low
114,1.067,low
115,1.284,low
116,1.584,low
117,1.8,low
118,1.6,low
119,1.417,low
120,1.384,low
121,1.25,low
122,1.25,low
123,1.284,low
124,1.534,low
125,1.334,low
126,1.334,low
127,1.217,low
128,1.417,low
129,1.45,low
130,1.35,low
131,1.417,low
132,1.317,low
133,1.35,low
134,1.334,low
135,1.184,low
136,1.35,low
137,1.184,low
138,1.367,low
139,1.084,low
140,1.1,low
141,0.783,low
142,0.9,low
143,1.0,low
144,0.85,low
145,0.9,low
146,0.967,low
147,1.05,low
148,1.25,low
149,1.267,low
150,1.35,low
151,1.217,low
152,1.367,low
153,1.484,low
154,1.35,low
155,1.367,low
156,1.3,low
157,1.234,low
158,1.167,low
159,1.067,low
160,1.167,low
161,1.134,low
162,1.134,low
163,1.067,low
164,1.134,low
165,1.217,low
166,1.334,low
167,1.217,low
168,1.284,low
169,1.084,low
170,1.084,low
171,0.85,low
172,0.95,low
173,1.1,low
174,1.05,low
175,1.0,low
176,1.1,low
177,1.05,low
178,1.2,low
179,1.217,low
180,1.017,low
181,0.8,low
182,0.6,low
183,0.717,low
184,0.95,low
185,0.934,low
186,0.884,low
187,0.834,low
188,0.867,low
189,0.817,low
190,0.85,low
191,0.967,low
192,1.35,low
193,1.317,low
194,1.317,low
195,1.434,low
196,1.067,low
197,1.184,low
198,1.017,low
199,1.084,low
200,1.017,low
201,1.284,low
202,1.25,low
203,1.317,low
204,1.434,low
205,1.35,low
206,1.417,low
207,1.284,low
208,1.367,low
209,1.334,low
210,1.634,low
