trlno,duration,stochasticity
1,1.3,practice
2,1.2,practice
3,1.3,practice
4,1.1,practice
5,1.1,practice
6,1.1,practice
7,1.2,practice
8,1.2,practice
9,1.1,practice
10,1.2,practice
11,1.75,high
12,1.234,high
13,1.284,high
14,0.967,high
15,1.434,high
16,1.134,high
17,1.25,high
18,0.667,high
19,1.8,high
20,1.25,high
21,0.9,high
22,1.534,high
23,1.7,high
24,0.7,high
25,1.567,high
26,1.6,high
27,1.284,high
28,1.65,high
29,1.267,high
30,0.85,high
31,1.117,high
32,1.017,high
33,0.7,high
34,1.1,high
35,1.267,high
36,0.917,high
37,1.217,high
38,0.733,high
39,0.667,high
40,0.834,high
41,1.017,high
42,1.65,high
43,1.234,high
44,1.017,high
45,1.367,high
46,1.1,high
47,0.767,high
48,1.6,high
49,1.45,high
50,0.65,high
51,1.034,high
52,1.567,high
53,0.8,high
54,1.35,high
55,0.85,high
56,1.184,high
57,1.717,high
58,1.5,high
59,0.683,high
60,1.75,high
61,0.917,high
62,1.684,high
63,1.65,high
64,1.4,high
65,1.684,high
66,1.65,high
67,1.784,high
68,1.067,high
69,1.067,high
70,0.75,high
71,1.367,high
72,1.6,high
73,1.75,high
74,1.167,high
75,1.35,high
76,1.25,high
77,0.667,high
78,1.65,high
79,1.234,high
80,1.634,high
81,1.3,high
82,1.634,high
83,1.45,high
84,0.9,high
85,0.717,high
86,1.6,high
87,0.75,high
88,1.05,high
89,0.667,high
90,0.767,high
91,0.65,high
92,1.55,high
93,1.25,high
94,1.55,high
95,1.284,high
96,1.384,high
97,1.55,high
98,1.334,high
99,1.517,high
100,1.534,high
101,1.617,high
102,1.684,high
103,0.6,high
104,1.534,high
105,0.934,high
106,0.733,high
107,1.334,high
108,1.2,high
109,1.067,high
110,1.317,high
111,0.85,low
112,0.75,low
113,0.7,low
114,0.75,low
115,0.667,low
116,0.667,low
117,0.767,low
118,0.917,low
119,0.8,low
120,0.9,low
121,0.834,low
122,0.85,low
123,0.967,low
124,1.017,low
125,0.934,low
126,0.7,low
127,0.65,low
128,0.717,low
129,0.733,low
130,0.667,low
131,0.6,low
132,0.667,low
133,0.733,low
134,0.65,low
135,0.683,low
136,0.767,low
137,0.917,low
138,0.9,low
139,1.017,low
140,1.05,low
141,1.134,low
142,1.234,low
143,1.217,low
144,1.267,low
145,1.2,low
146,1.117,low
147,1.067,low
148,1.1,low
149,1.034,low
150,1.167,low
151,1.1,low
152,1.017,low
153,1.067,low
154,1.067,low
155,1.234,low
156,1.284,low
157,1.284,low
158,1.25,low
159,1.35,low
160,1.4,low
161,1.567,low
162,1.45,low
163,1.6,low
164,1.517,low
165,1.434,low
166,1.55,low
167,1.5,low
168,1.45,low
169,1.534,low
170,1.55,low
171,1.6,low
172,1.634,low
173,1.717,low
174,1.684,low
175,1.65,low
176,1.634,low
177,1.65,low
178,1.65,low
179,1.617,low
180,1.684,low
181,1.684,low
182,1.65,low
183,1.8,low
184,1.75,low
185,1.784,low
186,1.75,low
187,1.6,low
188,1.534,low
189,1.6,low
190,1.55,low
191,1.567,low
192,1.367,low
193,1.284,low
194,1.25,low
195,1.25,low
196,1.334,low
197,1.267,low
198,1.367,low
199,1.184,low
200,1.3,low
201,1.25,low
202,1.234,low
203,1.334,low
204,1.384,low
205,1.35,low
206,1.317,low
207,1.534,low
208,1.7,low
209,1.75,low
210,1.65,low
